item_id,category,price,content_tags
I_0225,Fashion,7.34,"oil, per, line"
I_0226,Home,49.09,"create, build, quite"
I_0227,Beauty,13.4,"morning, including, that"
I_0228,Beauty,15.34,"character, yeah, garden"
I_0229,Beauty,33.12,"would, throughout, would"
I_0230,Electronics,30.69,"century, television, Congress"
I_0231,Beauty,10.7,"ball, forward, would"
I_0232,Fashion,37.8,"finish, around, later"
I_0233,Fashion,71.73,"decide, similar, office"
I_0234,Home,13.43,"citizen, size, sister"
I_0235,Books,91.65,"can, its, investment"
I_0236,Books,9.51,"investment, local, above"
I_0237,Electronics,180.16,"move, room, wear"
I_0238,Beauty,23.83,"throughout, series, most"
I_0239,Electronics,37.21,"adult, above, safe"
I_0240,Home,7.29,"difficult, theory, fine"
I_0241,Home,31.51,"bill, me, fill"
I_0242,Books,39.76,"assume, animal, way"
I_0243,Home,30.91,"lay, minute, model"
I_0244,Beauty,21.11,"its, rather, card"
I_0245,Fashion,15.53,"you, majority, seek"
I_0246,Home,81.81,"close, trade, speech"
I_0247,Electronics,33.94,"affect, difference, world"
I_0248,Beauty,113.59,"deep, against, mean"
I_0249,Home,21.73,"but, represent, society"
I_0250,Home,23.39,"heart, policy, side"
I_0251,Beauty,63.59,"perhaps, order, answer"
I_0252,Home,9.04,"blue, structure, answer"
I_0253,Fashion,12.54,"break, know, buy"
I_0254,Books,79.68,"education, reduce, day"
I_0255,Beauty,12.97,"rate, act, inside"
I_0256,Electronics,7.73,"big, minute, performance"
I_0257,Home,147.65,"red, industry, together"
I_0258,Books,10.86,"memory, pay, executive"
I_0259,Electronics,38.37,"size, marriage, participant"
I_0260,Electronics,35.0,"sing, story, win"
I_0261,Fashion,3.5,"group, important, civil"
I_0262,Books,26.74,"nature, travel, read"
I_0263,Beauty,47.41,"lose, doctor, actually"
I_0264,Books,43.97,"become, book, off"
I_0265,Books,68.23,"management, we, single"
I_0266,Electronics,24.29,"avoid, rich, toward"
I_0267,Fashion,58.56,"popular, lead, with"
I_0268,Fashion,19.08,"enough, anyone, spend"
I_0269,Books,10.71,"them, system, growth"
I_0270,Books,11.73,"quality, international, break"
I_0271,Home,10.28,"surface, three, act"
I_0272,Electronics,74.27,"catch, positive, forget"
I_0273,Beauty,9.86,"thus, western, environmental"
I_0274,Beauty,41.23,"run, head, garden"
I_0275,Fashion,26.77,"box, hundred, lead"
I_0276,Electronics,30.5,"structure, ready, long"
I_0277,Fashion,98.58,"instead, though, coach"
I_0278,Beauty,23.32,"car, risk, word"
I_0279,Books,54.02,"such, billion, treat"
I_0280,Electronics,34.13,"lot, notice, just"
I_0281,Electronics,29.32,"particularly, single, particularly"
I_0282,Home,208.51,"television, they, road"
I_0283,Books,10.45,"through, low, maintain"
I_0284,Books,92.88,"thought, key, as"
I_0285,Fashion,55.99,"pressure, actually, than"
I_0286,Electronics,22.56,"modern, season, rich"
I_0287,Fashion,121.93,"difference, what, their"
I_0288,Books,7.55,"mind, read, peace"
I_0289,Home,21.81,"item, risk, loss"
I_0290,Electronics,12.59,"professional, political, chance"
I_0291,Books,46.05,"step, throughout, party"
I_0292,Home,13.59,"activity, various, measure"
I_0293,Beauty,46.83,"light, many, close"
I_0294,Books,28.53,"seem, fly, former"
I_0295,Beauty,22.57,"everything, medical, nearly"
I_0296,Fashion,45.19,"her, stage, bad"
I_0297,Beauty,26.71,"know, of, because"
I_0298,Books,13.86,"material, firm, wonder"
I_0299,Beauty,311.41,"seat, adult, idea"
I_0300,Electronics,22.43,"along, near, stay"
I_0301,Books,5.62,"social, white, point"
I_0302,Home,16.88,"three, none, pressure"
I_0303,Beauty,12.02,"lay, future, stay"
I_0304,Electronics,64.13,"staff, such, forward"
I_0305,Fashion,42.83,"should, outside, respond"
I_0306,Fashion,45.56,"guy, laugh, best"
I_0307,Beauty,24.63,"probably, able, great"
I_0308,Fashion,26.48,"plant, son, natural"
I_0309,Home,24.61,"hear, blood, to"
I_0310,Books,31.03,"manage, state, score"
I_0311,Electronics,64.6,"important, effect, cultural"
I_0312,Beauty,43.33,"building, system, democratic"
I_0313,Fashion,49.41,"station, course, full"
I_0314,Books,49.39,"serious, another, plan"
I_0315,Home,67.19,"public, but, through"
I_0316,Fashion,41.7,"leader, operation, mean"
I_0317,Fashion,44.13,"white, above, save"
I_0318,Electronics,85.72,"network, item, one"
I_0319,Home,19.45,"under, sit, travel"
I_0320,Home,16.7,"reality, community, spring"
I_0321,Beauty,12.82,"billion, price, paper"
I_0322,Electronics,38.33,"focus, thing, industry"
I_0323,Beauty,7.52,"participant, realize, eat"
I_0324,Electronics,47.93,"huge, garden, family"
I_0325,Home,30.35,"source, catch, owner"
I_0326,Electronics,82.08,"though, mention, successful"
I_0327,Electronics,19.35,"natural, finish, say"
I_0328,Electronics,28.14,"network, design, decide"
I_0329,Books,81.27,"research, rather, TV"
I_0330,Books,100.13,"car, report, window"
I_0331,Home,19.22,"concern, my, PM"
I_0332,Electronics,38.3,"report, set, no"
I_0333,Home,41.91,"old, wall, report"
I_0334,Books,44.65,"purpose, throw, move"
I_0335,Electronics,26.84,"there, institution, actually"
I_0336,Beauty,92.31,"blood, herself, apply"
I_0337,Books,7.3,"argue, environment, size"
I_0338,Books,23.64,"worker, raise, chair"
I_0339,Books,47.39,"artist, six, daughter"
I_0340,Electronics,47.74,"must, grow, laugh"
I_0341,Fashion,97.73,"pattern, push, no"
I_0342,Beauty,86.36,"difference, positive, home"
I_0343,Beauty,26.35,"memory, someone, receive"
I_0344,Home,93.68,"realize, another, high"
I_0345,Electronics,18.7,"indicate, small, rate"
I_0346,Books,69.74,"whole, approach, season"
I_0347,Fashion,140.95,"data, than, team"
I_0348,Electronics,87.53,"kitchen, difficult, plant"
I_0349,Electronics,36.04,"remember, happy, open"
I_0350,Fashion,25.4,"school, cultural, right"
I_0351,Books,9.75,"cover, large, work"
I_0352,Electronics,42.45,"avoid, while, same"
I_0353,Beauty,13.57,"budget, American, evidence"
I_0354,Beauty,17.56,"enough, claim, suffer"
I_0355,Fashion,12.77,"accept, letter, visit"
I_0356,Books,22.91,"always, up, others"
I_0357,Fashion,32.38,"similar, personal, successful"
I_0358,Electronics,41.22,"feeling, so, nearly"
I_0359,Beauty,20.48,"authority, remain, moment"
I_0360,Home,77.9,"whatever, minute, skill"
I_0361,Fashion,28.03,"city, myself, idea"
I_0362,Home,17.63,"glass, third, professional"
I_0363,Home,39.69,"former, family, wear"
I_0364,Beauty,159.31,"peace, little, no"
I_0365,Fashion,43.3,"sell, power, boy"
I_0366,Home,24.77,"generation, drive, politics"
I_0367,Electronics,9.76,"truth, during, always"
I_0368,Books,27.78,"those, high, someone"
I_0369,Books,39.96,"box, either, rich"
I_0370,Beauty,24.29,"agency, might, side"
I_0371,Fashion,8.74,"method, meet, main"
I_0372,Fashion,16.77,"fast, prepare, fly"
I_0373,Books,106.02,"bank, benefit, will"
I_0374,Electronics,104.29,"significant, mouth, phone"
I_0375,Books,16.29,"decision, picture, defense"
I_0376,Books,56.72,"rate, structure, day"
I_0377,Fashion,12.9,"stock, these, scientist"
I_0378,Home,101.85,"itself, stage, authority"
I_0379,Electronics,40.29,"rather, agency, response"
I_0380,Fashion,70.79,"also, available, concern"
I_0381,Books,8.4,"edge, audience, start"
I_0382,Home,56.95,"treat, imagine, later"
I_0383,Electronics,32.91,"identify, first, hope"
I_0384,Beauty,65.47,"brother, accept, result"
I_0385,Electronics,68.85,"as, second, animal"
I_0386,Electronics,34.9,"summer, group, me"
I_0387,Books,20.48,"face, rate, paper"
I_0388,Books,61.79,"example, unit, high"
I_0389,Beauty,31.56,"state, air, choose"
I_0390,Beauty,16.47,"detail, section, someone"
I_0391,Beauty,15.86,"support, far, plant"
I_0392,Fashion,10.16,"fear, thought, whole"
I_0393,Fashion,22.02,"term, possible, whatever"
I_0394,Books,80.01,"action, themselves, center"
I_0395,Books,38.18,"among, of, hour"
I_0396,Beauty,21.68,"natural, be, decide"
I_0397,Fashion,63.05,"scientist, rise, deep"
I_0398,Home,17.01,"town, surface, central"
I_0399,Fashion,35.74,"contain, pattern, education"
I_0400,Books,28.68,"boy, provide, note"
I_0401,Fashion,61.76,"approach, seem, wrong"
I_0402,Books,9.38,"nature, popular, available"
I_0403,Beauty,16.77,"public, economy, culture"
I_0404,Beauty,8.93,"oil, week, ground"
I_0405,Beauty,26.91,"provide, doctor, expect"
I_0406,Home,87.28,"attorney, cover, magazine"
I_0407,Home,22.1,"foreign, process, really"
I_0408,Books,22.01,"charge, note, space"
I_0409,Electronics,66.51,"when, collection, finish"
I_0410,Home,77.85,"size, Republican, political"
I_0411,Books,30.85,"everybody, growth, quickly"
I_0412,Fashion,57.27,"former, lose, knowledge"
I_0413,Beauty,13.99,"simple, main, board"
I_0414,Beauty,99.72,"population, bank, exactly"
I_0415,Beauty,184.74,"step, through, cultural"
I_0416,Books,50.25,"safe, phone, road"
I_0417,Beauty,6.25,"throughout, support, place"
I_0418,Home,21.19,"spend, often, shoulder"
I_0419,Fashion,54.07,"defense, already, end"
I_0420,Beauty,23.64,"thus, music, president"
I_0421,Books,91.63,"chance, hotel, through"
I_0422,Fashion,53.01,"operation, tax, card"
I_0423,Beauty,18.82,"may, bed, hair"
I_0424,Electronics,33.98,"action, draw, who"
I_0425,Beauty,16.2,"word, range, serious"
I_0426,Home,28.62,"cell, city, not"
I_0427,Fashion,21.25,"not, the, certainly"
I_0428,Home,84.76,"rule, voice, American"
I_0429,Electronics,179.97,"seven, discussion, enough"
I_0430,Electronics,10.54,"doctor, protect, military"
I_0431,Home,7.11,"social, hold, truth"
I_0432,Fashion,27.22,"thing, always, possible"
I_0433,Electronics,9.83,"billion, why, plant"
I_0434,Electronics,34.36,"event, score, official"
I_0435,Beauty,60.29,"now, heavy, her"
I_0436,Books,109.43,"onto, together, back"
I_0437,Electronics,38.9,"edge, win, development"
I_0438,Fashion,28.37,"image, stage, generation"
I_0439,Fashion,6.8,"society, thought, according"
I_0440,Beauty,33.82,"think, key, discover"
I_0441,Fashion,35.06,"method, exactly, change"
I_0442,Beauty,55.21,"church, own, stage"
I_0443,Electronics,18.79,"produce, increase, form"
I_0444,Electronics,23.38,"box, push, look"
I_0445,Electronics,10.15,"opportunity, positive, improve"
I_0446,Electronics,5.3,"during, campaign, or"
I_0447,Books,13.64,"care, mention, three"
I_0448,Books,9.43,"chair, coach, two"
I_0449,Electronics,43.35,"might, if, wide"
I_0450,Fashion,21.88,"point, these, road"
I_0451,Beauty,21.53,"start, water, describe"
I_0452,Home,15.07,"paper, likely, loss"
I_0453,Beauty,2.49,"detail, improve, central"
I_0454,Home,110.68,"old, should, perhaps"
I_0455,Home,14.88,"member, cold, rate"
I_0456,Electronics,23.81,"two, others, attention"
I_0457,Home,10.34,"her, car, admit"
I_0458,Electronics,72.06,"mission, training, range"
I_0459,Books,37.14,"step, painting, concern"
I_0460,Fashion,17.1,"top, outside, there"
I_0461,Home,24.2,"mother, sell, behavior"
I_0462,Fashion,126.79,"process, top, much"
I_0463,Electronics,31.24,"ability, visit, question"
I_0464,Home,28.63,"issue, inside, themselves"
I_0465,Beauty,15.59,"recently, investment, voice"
I_0466,Books,7.27,"lot, shoulder, go"
I_0467,Books,29.14,"source, traditional, student"
I_0468,Home,42.97,"office, international, effort"
I_0469,Books,79.81,"she, travel, base"
I_0470,Beauty,5.48,"our, myself, election"
I_0471,Fashion,13.46,"accept, season, according"
I_0472,Beauty,20.81,"mission, mind, heart"
I_0473,Books,33.02,"day, sound, impact"
I_0474,Fashion,29.49,"blood, international, one"
I_0475,Beauty,30.04,"end, movie, north"
I_0476,Electronics,45.9,"partner, yeah, however"
I_0477,Electronics,16.08,"data, need, newspaper"
I_0478,Fashion,69.92,"condition, next, low"
I_0479,Fashion,46.84,"write, officer, similar"
I_0480,Fashion,25.64,"huge, catch, tell"
I_0481,Electronics,119.19,"budget, discover, situation"
I_0482,Beauty,115.02,"we, beyond, meet"
I_0483,Fashion,69.85,"skill, song, pass"
I_0484,Electronics,2.96,"range, appear, home"
I_0485,Fashion,117.11,"player, source, statement"
I_0486,Fashion,62.54,"likely, outside, because"
I_0487,Fashion,164.86,"enjoy, he, participant"
I_0488,Electronics,89.12,"right, us, husband"
I_0489,Beauty,117.06,"prevent, expert, white"
I_0490,Electronics,66.88,"arm, similar, compare"
I_0491,Electronics,97.41,"manager, action, sure"
I_0492,Fashion,163.25,"us, million, crime"
I_0493,Home,39.38,"six, member, recognize"
I_0494,Home,9.41,"past, purpose, growth"
I_0495,Home,25.89,"pretty, wish, beautiful"
I_0496,Electronics,45.24,"every, human, prove"
I_0497,Fashion,35.16,"if, customer, address"
I_0498,Home,12.22,"region, try, near"
I_0499,Books,8.98,"risk, next, on"
I_0500,Books,18.3,"girl, spring, difficult"
I_0501,Books,63.19,"white, lawyer, identify"
I_0502,Beauty,117.25,"above, company, media"
I_0503,Fashion,68.94,"next, me, future"
I_0504,Electronics,77.16,"bring, message, election"
I_0505,Electronics,31.04,"Mrs, soldier, economic"
I_0506,Fashion,8.22,"kind, help, low"
I_0507,Beauty,23.01,"during, fund, simply"
I_0508,Fashion,26.92,"race, to, television"
I_0509,Beauty,22.25,"loss, election, him"
I_0510,Home,34.6,"small, detail, red"
I_0511,Home,47.14,"son, include, good"
I_0512,Beauty,65.52,"movie, red, enjoy"
I_0513,Fashion,26.51,"expert, human, see"
I_0514,Home,7.22,"garden, never, condition"
I_0515,Fashion,22.5,"finish, despite, off"
I_0516,Home,34.29,"consumer, second, us"
I_0517,Fashion,88.08,"couple, say, dog"
I_0518,Fashion,21.03,"drug, enter, director"
I_0519,Books,49.9,"strong, student, green"
I_0520,Beauty,41.77,"single, build, bad"
I_0521,Electronics,34.3,"what, manage, according"
I_0522,Beauty,69.72,"tax, when, summer"
I_0523,Fashion,19.52,"he, firm, together"
I_0524,Fashion,20.9,"thing, off, ever"
I_0525,Beauty,32.8,"consumer, share, memory"
I_0526,Fashion,19.84,"huge, seek, campaign"
I_0527,Home,49.72,"moment, institution, vote"
I_0528,Fashion,18.72,"allow, girl, team"
I_0529,Beauty,39.69,"simply, lead, build"
I_0530,Beauty,30.57,"million, firm, across"
I_0531,Beauty,39.33,"purpose, here, beyond"
I_0532,Books,22.92,"gun, technology, cost"
I_0533,Books,25.25,"enjoy, especially, when"
I_0534,Books,35.76,"gas, contain, interest"
I_0535,Books,38.93,"industry, sell, half"
I_0536,Books,33.0,"hundred, late, number"
I_0537,Books,129.58,"without, rather, sport"
I_0538,Books,14.99,"result, sound, new"
I_0539,Beauty,31.46,"task, cultural, son"
I_0540,Electronics,9.4,"school, list, act"
I_0541,Books,44.6,"instead, care, throw"
I_0542,Beauty,13.57,"piece, move, firm"
I_0543,Electronics,26.51,"main, economy, teach"
I_0544,Books,24.59,"answer, between, clear"
I_0545,Electronics,41.46,"democratic, effect, stuff"
I_0546,Electronics,21.28,"benefit, seat, employee"
I_0547,Home,20.57,"growth, newspaper, special"
I_0548,Fashion,104.45,"general, in, go"
I_0549,Home,41.58,"quickly, paper, officer"
I_0550,Electronics,21.14,"practice, Mrs, without"
I_0551,Beauty,27.09,"expect, foot, member"
I_0552,Books,123.51,"simple, land, bad"
I_0553,Fashion,27.44,"party, less, what"
I_0554,Books,19.08,"than, political, up"
I_0555,Beauty,19.14,"instead, partner, if"
I_0556,Fashion,21.34,"trade, bad, gas"
I_0557,Home,20.58,"finish, president, report"
I_0558,Electronics,11.9,"painting, house, thought"
I_0559,Beauty,13.47,"sit, voice, security"
I_0560,Electronics,17.06,"minute, late, cold"
I_0561,Electronics,53.16,"take, by, doctor"
I_0562,Books,24.41,"edge, season, see"
I_0563,Beauty,28.06,"decision, however, believe"
I_0564,Electronics,91.48,"view, list, approach"
I_0565,Home,93.32,"side, model, you"
I_0566,Fashion,26.42,"billion, peace, base"
I_0567,Beauty,19.99,"use, hope, director"
I_0568,Books,16.58,"scene, kitchen, call"
I_0569,Beauty,57.64,"money, color, along"
I_0570,Books,28.11,"ground, trip, ten"
I_0571,Fashion,24.31,"level, that, various"
I_0572,Home,17.27,"nature, career, way"
I_0573,Electronics,17.89,"much, opportunity, lead"
I_0574,Beauty,42.78,"see, theory, itself"
I_0575,Books,11.56,"policy, move, training"
I_0576,Fashion,73.4,"loss, dinner, become"
I_0577,Electronics,21.6,"film, include, choose"
I_0578,Fashion,29.38,"action, model, serve"
I_0579,Home,11.36,"carry, expert, movement"
I_0580,Electronics,32.79,"reach, man, sense"
I_0581,Electronics,25.47,"federal, she, something"
I_0582,Electronics,31.81,"others, someone, nature"
I_0583,Books,107.49,"country, think, join"
I_0584,Electronics,38.17,"economic, resource, position"
I_0585,Fashion,17.54,"stock, determine, bad"
I_0586,Books,18.75,"personal, might, son"
I_0587,Electronics,53.31,"party, really, even"
I_0588,Fashion,93.59,"possible, mother, especially"
I_0589,Fashion,41.49,"could, attention, carry"
I_0590,Beauty,57.45,"book, lay, laugh"
I_0591,Fashion,53.94,"red, man, fly"
I_0592,Home,103.05,"charge, wide, against"
I_0593,Electronics,6.96,"win, example, by"
I_0594,Electronics,56.47,"just, account, bed"
I_0595,Electronics,72.75,"address, describe, inside"
I_0596,Fashion,11.35,"size, marriage, he"
I_0597,Fashion,16.3,"recent, all, bag"
I_0598,Electronics,16.77,"seek, certainly, entire"
I_0599,Books,18.49,"hotel, myself, consider"
I_0600,Books,22.53,"time, economic, high"
